Rank,Curated Title,Date,Impressions,Likes,Engagements,Bookmarks,Shares,Replies,Reposts,Profile Visits,Detail Expands,URL Clicks,Post URL,Post ID,Post Text
1,NEW HOPPER 2026 — registration OPEN,2026-01-06,33428,32,1068,33,5,3,22,72,231,218,https://x.com/WWCKorea/status/2008463131958485193,2008463131958485193,"📢 NEW HOPPER 2026 with AI 참가자 모집 OPEN! 🚀 AI 시대를 항해하는 IT 여성들을 위한 신년 행사 ✨ AI를 성과와 성장으로 연결 ✨ 테크 / 커리어 &amp; 생산성 세션 + 네트워킹 ✨ 선착순 100명 📅 1/31(토) 13–17시 📍 누디트 익선 💰 10,000원 👉 신청: https://t.co/khdSDdiCAF https://t.co/Uf81HKAIiU"
2,She Run The World — leadership conference announcement,2025-05-10,13864,54,634,22,11,1,43,75,131,179,https://x.com/WWCKorea/status/1921184947630383356,1921184947630383356,"✨리더를 꿈꾸는 모든 여성을 위한 특별한 행사 She, Run the World 🚀 테크 리더부터 제품 리더, 더 나아가 조직을 이끌고 비전을 제시하는 경영 리더까지 만나볼 기회! 📅 행사 일정 -일시: 5월 31일(토) -장소: 한빛미디어 강의실60 -참가비: 5000원 -참여 신청: 🔗 https://t.co/PMKTa9Cnlu https://t.co/YoSXb3YYrC"
3,1H Retrospective — IT women community recap event,2025-07-10,13251,87,743,39,8,1,46,106,57,0,https://x.com/WWCKorea/status/1943241557148340388,1943241557148340388,"WWC Korea에서 IT 업계 여성들을 위한 상반기 회고를 엽니다! 개발자, 디자이너, 기획자, 데이터 분석가등 다양한 직군의 여성들이 모여 편안하게 상반기를 돌아보고 하반기 목표를 세워요. 위민후코드 제작 회고 템플릿과 함께 인사이트를 나누는 시간도 준비했습니다💙 (신청 링크는 이어서 타래로) https://t.co/qcNbvyDBXo"
4,Hackathon for Women — IWD2026 teaser,2026-02-15,10043,55,246,23,2,1,22,86,78,0,https://x.com/WWCKorea/status/2022919741392978317,2022919741392978317,"📢 [스포주의] WWCKorea 해커톤?! 🛠️💗 국제 여성의 날, Hackathon for Women이 옵니다. 여성의 삶과 관련된 사회 문제를 기술로 해결하고 싶은 분들 주목! 📅 행사: 3/7(토) @창업허브 공덕🚀모집 시작: 2/19(목) 선착순 40명!"
5,UK Overseas AMA — Medium recap,2025-07-06,9029,61,405,42,6,0,41,42,47,213,https://x.com/WWCKorea/status/1941748446714871850,1941748446714871850,"""영국에서 개발자로 일한다는 건, 실제로 어떤 모습일까?"" 지난 4월 영국 해외취업 AMA에서 유보미 님이 들려준 리얼 해외취업 이야기💬 그날의 기록을 미디엄에 정리했습니다! 진지하게 워홀·커리어 고민 중이라면, 꼭 읽어보세요👇 🔗 https://t.co/uZKklUdxWk"
6,NEW HOPPER 2026 — speaker call,2025-12-29,8632,33,213,10,5,4,24,60,90,0,https://x.com/WWCKorea/status/2005572386201223559,2005572386201223559,"2026년 새해, WWC Korea와 함께할 스피커를 찾습니다! AI 시대, 여러분만의 생존 전략과 노하우를 나눠주세요! 성장하고 싶은 IT 여성분들의 많은 지원 바랍니다. 🚀 🔹 Track 1: AI 기술 트렌드 &amp; 실무 적용 🔸 Track 2: AI 활용 사례 &amp; 커리어 전략 📅 마감: 1/5(월) 23:59까지"
7,She Run The World — day-of,2025-05-31,7971,19,285,1,0,0,16,35,49,1,https://x.com/WWCKorea/status/1928643549714612367,1928643549714612367,"✨She, Run the World! 다들 기억하고 계시죠? 한빛빌딩 A동 2층에서 만나요! ✔️위민후코드 코리아 스티커 ✔️해피문데이 탐폰 ✔️음료(라떼 / 아메리카노 / 생수 중 택1) ✔️달달한 도넛 모~두 챙겨드립니다 🎁 🤝 네트워킹을 위해 명함도 꼭 챙겨와 주세요! https://t.co/ResT7wXuk5"
8,Hackathon for Women — registration OPEN (40 seats),2026-02-19,7955,37,704,18,4,2,33,50,233,348,https://x.com/WWCKorea/status/2024427680717004958,2024427680717004958,📢 [WWCKorea] Hackathon for Women 모집 시작! 🛠️ 국제 여성의 날을 맞아 여성의 삶과 관련된 사회 문제를 기술로 해결하고 싶은 분들 모여라! ✨ 선착순 40명 ✨여성의 시선으로 문제 재해석 ✨ 협업을 통한 아이디어 구현 ✨ 포용적인 기술 생태계 기여 📅 2026.03.07 오전 10시 - 오후 6시
9,"She Run The World — speaker (You Han-yeoul, product leader)",2025-05-10,7662,16,308,2,0,1,6,24,109,0,https://x.com/WWCKorea/status/1921188598109413634,1921188598109413634,"[유한여울님 - 기획은 안 했고, 실패는 좀 했다] 평창올림픽 개폐회식 운영팀 막내에서 스타트업 임원이 되기까지. 실패를 발판 삼아 구조를 만든 제품 리더의 여정. 계획한 적 없지만 계속 진화한 커리어! 불확실한 순간, 방향을 찾고 싶은 모든 분들께 들려주고픈 이야기 #제품리더십 #실패의기술 https://t.co/Ue7J2qgH5P"
10,Hackathon for Women — kickoff,2026-03-07,6479,56,556,2,0,1,17,32,73,0,https://x.com/WWCKorea/status/2030092851875590322,2030092851875590322,국제 여성의날 기념 Hackathon for Women 시작합니다🥖🌹 https://t.co/QHrR8azShT
