Rank,Curated Title,Date,Impressions,Likes,Engagements,Bookmarks,Shares,Replies,Reposts,Profile Visits,Detail Expands,URL Clicks,Post URL,Post ID,Post Text
1,Klaire Baek — non-CS background to GitHub Copilot Director,2025-04-02,840431,468,2239,379,18,7,199,203,750,351,https://x.com/LearnerBR/status/1907351479637442989,1907351479637442989,"6000대 1 뚫고 깃헙 코파일럿 개발팀 디렉터가 된 Klaire Baek 비전공자(첫 회사 회계 role)로 시작해 깃헙 코파일럿의 개발 디렉터가 된 여정 --- 20대 초중반엔 금융 파다가(FRM, 외환관리사까지 취득) 20대 후반~30대 초반엔 JavaScript 파고(https://t.co/U6NsNjs78W 런칭) 지금은 블록체인 https://t.co/YeFCleWXI5"
2,Figma MCP × VS Code Korean Government Design System,2025-04-02,46236,552,2215,571,49,2,193,161,519,23,https://x.com/LearnerBR/status/1907466235790684242,1907466235790684242,피그마 MCP 개쩐다!! 몇일전에 공유드렸던 범정부 디자인 시스템 피그마 가지고 tailwind 세팅하는거 MCP로 해봤는데 하이고 옛날이면 색상코드 하나하나 복붙해야해서 한 2~3일 잡고 설정값 만져야하는거 3시간정도에 다 함 VS Code에 mcp 연동하는게 npx로 하는거가 에러가 좀나서 그냥 도커에 https://t.co/oz1gwbyCnm
3,Microsoft engineers' skill repository roundup,2026-03-22,30266,348,1562,447,20,4,74,110,333,1,https://x.com/LearnerBR/status/2035693897461170401,2035693897461170401,내 스킬도 천재이지만 아이쿠 또 마이크로소프트 직원들이 꿀통 스킬만 여기저기서 수집해두셨네 https://t.co/WoEdwMdsny
4,TTimes × Microsoft Learn feature,2025-07-01,30116,1006,2383,211,5,333,31,18,805,0,https://x.com/LearnerBR/status/1940037400723693695,1940037400723693695,"티타임즈 x 마이크로소프트 마이크로소프트 초초초 엘리트 개발자들과 교육 공학 전문가들이 엄청난 비용을 들여서 설계한 무료 학습 사이트가 있다고? 넵. 마이크로소프트 Learn 사이트가 바로 그것입니다. MS 런 사이트와 Code; Without Barriers 캠페인 이야기, 이보라 MS MVP가 강조하는 https://t.co/ryf2iSwOZo"
5,MCP live build with Microsoft official MCP curriculum,2025-07-07,21827,146,399,93,2,1,56,69,117,10,https://x.com/LearnerBR/status/1942304804434571348,1942304804434571348,"다들 MCP 남이 만든거 가져다 쓴다는데 나는 만들어볼거야! 내 주 언어는 JS, TS야! 그렇다면 라이브 참여 함께 하시죠🤩 MCP 공식 문서 샘플이랑 한창 타임라인에 떴었던 MS 공식 MCP 학습자료 프롬프트 실딩 방법까지 (보안이 생명!!!!) 핵심만 찝어드릴게요. 헛소리 듣는거 하는거는 (기술"
6,VS Code agent mode official release,2025-04-05,20379,307,1030,221,28,5,132,112,192,18,https://x.com/LearnerBR/status/1908470152498393555,1908470152498393555,비주얼 스튜디오 코드 이제 에이전트 모드 됩니다!!! 몇시간전에 공식 릴리즈 되었어요. Insider 설치 따로 하는거에 거부감 느끼셨던 분들은 가볍게 업데이트 하고 사용하심 됩니다. 저는 제미나이 2.5 프로 붙여서 작업할려구여 ㅋㅋ 을매나 코드 잘 뽑아줄지 기대만발~~ https://t.co/KTCcw8vchf
7,GitHub: TypeScript becomes #1 language,2026-03-05,16829,189,1150,78,10,17,65,17,233,0,https://x.com/LearnerBR/status/2029434487055249765,2029434487055249765,"GitHub 공식발표! TypeScript가 왕좌를 차지하다. TypeScript가 Python과 JavaScript를 제치고 GitHub에서 가장 많이 사용되는 언어 1위를 탈환했습니다. 역대 최초 1위이면서, 66% 폭성장률을 보였다고 하네요. 이유는? AI가 강타입 언어를 미친듯이 좋아하니까요. 신규 개발자(네.. 당신도 https://t.co/HLT3yMaVqU"
8,Enterprise vibe coding with GitHub Copilot Metrics,2025-12-01,15377,121,558,93,4,1,14,35,131,1,https://x.com/LearnerBR/status/1995387064783946139,1995387064783946139,"이제 엔터프라이즈급 바이브 코딩 전략에 대한 논의가 다양한 곳에서 시작되고 있다. 모니터링, 통제 툴도 하나씩 나오고 있다. (이게 없으면 뭐 그냥 토이이지뭐..) 팀장님, 테크리더, CTO를 비롯해 의사결정권을 가진 분들이라면 GitHub Copilot Metrics 살펴보시고, 나중에 나올 책 보셔도 https://t.co/f5P7w1RsgF"
9,VS Code Insider multi-agent support,2026-01-16,13734,50,170,54,4,7,13,16,83,1,https://x.com/LearnerBR/status/2012103363169775833,2012103363169775833,"VS Code 인사이더에서 멀티 에이전트를 본격 지원합니다. ""서브에이전트 4개 써서 이거 작업 4개 병렬로 처리해줘""라고 입력하면 됩니다. 비디오 참고하세요."
10,Figma MCP — Korean Government Design System implementation,2025-04-02,13597,163,473,163,12,1,67,31,120,89,https://x.com/LearnerBR/status/1907487252625895866,1907487252625895866,[Figma MCP로 범정부 디자인시스템 구현해보기] 놀랍다 놀라워! 며칠 전에 공유했던 범정부 디자인 시스템 피그마 가지고 Tailwind 설정값 세팅하는 거 MCP로 해봤는데 MCP 없으면 색상 코드 하나하나 설정 파일에 복사-붙여넣기 해야 해서 한 2~3일 잡고 초기 프로젝트 구축해야 하는 거 3시간
11,Figma official Dev Mode MCP × VS Code integration,2025-06-04,13288,83,212,45,1,3,28,11,84,0,https://x.com/LearnerBR/status/1930386247559852254,1930386247559852254,피그마팀 공식 MCP와 VS Code 연동이 쉬워졌어요! 비공식 MCP로 작업하다보면 되다 안되다 하여서.. 직접 작업할때도 그렇고 강의나 데모때 땀을 흘리게되는 경우가 상당했습니다 그래서 도커로 좀 안정되게 환경을 세팅해보려했거든요 근데 피그마팀 공식 MCP 연동해보고 써보니 좋네요.
12,GitHub UI prompt versioning launch,2025-05-21,11844,198,1290,86,12,3,82,43,79,3,https://x.com/LearnerBR/status/1925311662439149597,1925311662439149597,"깃헙이 깃헙했다. UI에서 프롬프트 버전 관리, 버전별 평가 가능하게 해주는 신기능 출시 https://t.co/pwIfO31HOF"
13,Microsoft official MCP curriculum review,2025-06-17,10893,132,280,97,12,1,55,14,78,0,https://x.com/LearnerBR/status/1935029723341750328,1935029723341750328,MCP 커리큘럼 좋네 마이크로소프트가 말아주는 MCP 만들기 튜토리얼 MCP공식 사이트에 있는 날씨api 관련 튜토리얼 코드랑 이거 코드보면 머리에 큰 그림그리는거는 큰 무리가 없겠다 다음주에 할 강의 컨텐츠 다 갈아엎어야 하나 😇 응 아니 못해 잠 못잤어...🥲
14,Enterprise AI agent governance with GitHub Actions,2026-01-10,10828,81,361,117,15,2,15,16,94,152,https://x.com/LearnerBR/status/2010021663417700631,2010021663417700631,엔터프라이즈용 AI 에이전트 구성 꿀팁 통제 못하면 관리 못합니다. 기업에선. 모두 통제 아래로!!! 그리고 깃헙 액션내에서 프롬프트 쓸 쑤 있는거는 핵꿀팁 중 하나... https://t.co/Q2Js9pJRcL
